"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"811623092845940736","https://twitter.com/DataBzh/status/811623092845940736","RT @data2b: Premier événement #Data du #GrandOuest: 
@DataBzh, @data2b et #DataThursday ont besoin de vos réponses:
https://t.co/39PF9QDp6D","2016-12-21 17:23 +0000","399.0","6.0","0.015037593984962405","2.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811622542209323014","https://twitter.com/DataBzh/status/811622542209323014","#Datasnack #23 — Nombre annuel de mariages à Saint-Malo https://t.co/hBBVMtfX9W","2016-12-21 17:21 +0000","336.0","3.0","0.008928571428571428","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811617723834859526","https://twitter.com/DataBzh/status/811617723834859526","Les stratégies #opendata des 20 plus grandes villes françaises : https://t.co/Yv9TV7dVDV via @journaldunet","2016-12-21 17:01 +0000","765.0","5.0","0.006535947712418301","2.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811617291842555904","https://twitter.com/DataBzh/status/811617291842555904","Statistiques — 3 livres à lire en décembre https://t.co/LX0gVjSi6f https://t.co/lfgkudRfrN","2016-12-21 17:00 +0000","582.0","12.0","0.020618556701030927","2.0","0.0","2.0","1.0","7.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811570737622425600","https://twitter.com/DataBzh/status/811570737622425600","RT @VincentBroute: Intéressé pour avoir un événement ""Breizh Data Science"" en Bretagne ? Répondez au sondage :  https://t.co/yQTuH2Y0A1","2016-12-21 13:55 +0000","532.0","4.0","0.007518796992481203","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811525424807350272","https://twitter.com/DataBzh/status/811525424807350272","#RStats — ggtree version of plotTree : https://t.co/ddWqYjBHH6","2016-12-21 10:55 +0000","272.0","1.0","0.003676470588235294","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811498970291798016","https://twitter.com/DataBzh/status/811498970291798016","New Facebook Group — #DataScience Portfolios : https://t.co/Kk9aGYJCDx via @AriLamstein","2016-12-21 09:10 +0000","313.0","2.0","0.006389776357827476","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811480107558825984","https://twitter.com/DataBzh/status/811480107558825984","#RStats graphs and tables in #PowerBI Desktop : https://t.co/vktvPceZfz via @tomaz_tsql","2016-12-21 07:55 +0000","283.0","1.0","0.0035335689045936395","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811290332310765569","https://twitter.com/DataBzh/status/811290332310765569","#DataScience — 3 livres à lire en juillet https://t.co/ARAxypbD9y #lecture","2016-12-20 19:21 +0000","275.0","3.0","0.01090909090909091","0.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811285689778237440","https://twitter.com/DataBzh/status/811285689778237440","#RStats — languagelayeR : accéder à l'API languagelayer avec R : https://t.co/0gTFgbQ7nu via @_colinfay","2016-12-20 19:02 +0000","342.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811252425952808962","https://twitter.com/DataBzh/status/811252425952808962","#RStats — Package update: longurl 0.3.0 is hitting CRAN mirrors : https://t.co/96tcvQnCKp via @hrbrmstr","2016-12-20 16:50 +0000","264.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811205859913170944","https://twitter.com/DataBzh/status/811205859913170944","How different companies think about #DataScience : https://t.co/gyYZi4PEr1 via @DataconomyMedia","2016-12-20 13:45 +0000","247.0","1.0","0.004048582995951417","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811165567403040768","https://twitter.com/DataBzh/status/811165567403040768","""Top 30 #DataScience Articles of the Year"" on Data Science Central: https://t.co/DJcJpERtZd","2016-12-20 11:05 +0000","215.0","1.0","0.004651162790697674","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811119144192110592","https://twitter.com/DataBzh/status/811119144192110592","RT @data2b: Premier événement #Data du #GrandOuest: 
@DataBzh, @data2b et #DataThursday ont besoin de vos réponses:
https://t.co/HcjyRYTIZp","2016-12-20 08:00 +0000","713.0","6.0","0.008415147265077139","3.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811088895458865152","https://twitter.com/DataBzh/status/811088895458865152","#RStats — Speed Up Your Code: Parallel Processing with multidplyr : https://t.co/UlnvX8UUv3","2016-12-20 06:00 +0000","257.0","2.0","0.007782101167315175","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810957897932873728","https://twitter.com/DataBzh/status/810957897932873728","#Datasnack #27 — Production régionale d'électricité annuelle par filière (2008 à 2015) https://t.co/sjGktI3gsu","2016-12-19 21:20 +0000","328.0","3.0","0.009146341463414634","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810925196014223361","https://twitter.com/DataBzh/status/810925196014223361","@PierreAllee @Uxlco0 Météo France propose ses bulletins en payant...","2016-12-19 19:10 +0000","126.0","1.0","0.007936507936507936","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810918570536435713","https://twitter.com/DataBzh/status/810918570536435713","@PierreAllee @Uxlco0 Rennes publie des forecasts : https://t.co/GMRnQHTgSC
Ils ont peut-être des archives en stock ? (poke @metropolerennes)","2016-12-19 18:43 +0000","131.0","3.0","0.022900763358778626","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810896329304133632","https://twitter.com/DataBzh/status/810896329304133632","Great list of resources: #datascience, visualization, #machinelearning, #bigdata : https://t.co/upcFtRyMS0","2016-12-19 17:15 +0000","200.0","2.0","0.01","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810893035949199360","https://twitter.com/DataBzh/status/810893035949199360","Démographie bretonne, volet 3 : les accouchements https://t.co/FAFHdgc4F6 https://t.co/fSDTkML33V","2016-12-19 17:02 +0000","287.0","2.0","0.006968641114982578","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810845980652404736","https://twitter.com/DataBzh/status/810845980652404736","RT @RomainVallee: Un résumé concis et efficace de la matinale #BigData de Rennes Atalante https://t.co/WjqoMbnKSb #Banque #Assurance","2016-12-19 13:55 +0000","379.0","3.0","0.0079155672823219","1.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810804435354091524","https://twitter.com/DataBzh/status/810804435354091524","#RStats Learning Path: From beginner to expert in R in 7 steps https://t.co/2o4JrEbyvb","2016-12-19 11:10 +0000","329.0","4.0","0.0121580547112462","1.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810776352974639104","https://twitter.com/DataBzh/status/810776352974639104","@arzikrules bonjour, l'enseignement est un sujet trop large pour être traité en un seul article. D'autres volets sont en préparation ;)","2016-12-19 09:18 +0000","77.0","2.0","0.025974025974025976","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810755331685044224","https://twitter.com/DataBzh/status/810755331685044224","The four eras of #data : https://t.co/FGIKevj3Jh","2016-12-19 07:55 +0000","180.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810727647282155520","https://twitter.com/DataBzh/status/810727647282155520","RT @LucileBunouf: La communauté data science du Grand Ouest a besoin de votre avis : https://t.co/QrrIQc7s4z https://t.co/acCeEWE85G","2016-12-19 06:05 +0000","261.0","6.0","0.022988505747126436","0.0","0.0","2.0","2.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810625575635341315","https://twitter.com/DataBzh/status/810625575635341315","L'enseignement en Bretagne — Volet 1 https://t.co/EI4dePN2Yy #territoire","2016-12-18 23:19 +0000","208.0","3.0","0.014423076923076924","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810530294336028676","https://twitter.com/DataBzh/status/810530294336028676","Minding the zoo[keeper] with #RStats : https://t.co/ACUBrpcryg","2016-12-18 17:00 +0000","252.0","2.0","0.007936507936507936","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810486086107615232","https://twitter.com/DataBzh/status/810486086107615232","The most popular #Christmas songs in #data : https://t.co/hm5K1bDnwt","2016-12-18 14:05 +0000","196.0","3.0","0.015306122448979591","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810438238179655680","https://twitter.com/DataBzh/status/810438238179655680","Learning how to extend #RStudio by reading books : https://t.co/DaF4mDB6s9","2016-12-18 10:55 +0000","229.0","5.0","0.021834061135371178","1.0","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810391681442922496","https://twitter.com/DataBzh/status/810391681442922496","#Data — Analyse des données non structurées : découvrez ce que vous ignorez : https://t.co/6x4aUuDV1Z","2016-12-18 07:50 +0000","308.0","7.0","0.022727272727272728","1.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810367771209035776","https://twitter.com/DataBzh/status/810367771209035776","Databricks lève de fonds pour incarner la prochaine étape du #BigData : https://t.co/xzNG4bBjA5","2016-12-18 06:15 +0000","315.0","6.0","0.01904761904761905","2.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810292917927628801","https://twitter.com/DataBzh/status/810292917927628801","#Datasnack #3 — Les campings bretons et leur capacité d'accueil https://t.co/ZrivhSU5VJ","2016-12-18 01:17 +0000","204.0","2.0","0.00980392156862745","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810168409090650112","https://twitter.com/DataBzh/status/810168409090650112","#DataScience, Predictive #Analytics Main Developments in 2016 and Key Trends for 2017: https://t.co/YvIElKdpBp","2016-12-17 17:02 +0000","391.0","13.0","0.03324808184143223","5.0","0.0","6.0","0.0","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810118680138883072","https://twitter.com/DataBzh/status/810118680138883072","Buyers Beware: #DataViz is Not #Data #Analytics : https://t.co/sx1kPQEkVJ","2016-12-17 13:45 +0000","286.0","6.0","0.02097902097902098","1.0","0.0","4.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810084869460074500","https://twitter.com/DataBzh/status/810084869460074500","La communauté data science du Grand Ouest a besoin de votre avis https://t.co/yQTuH2Y0A1 https://t.co/JVKWkpmHDA","2016-12-17 11:30 +0000","993.0","22.0","0.022155085599194362","7.0","0.0","1.0","1.0","11.0","0.0","1.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810078396294238208","https://twitter.com/DataBzh/status/810078396294238208","Why Does #Data Decay so Fast? https://t.co/adieD6Mef3","2016-12-17 11:05 +0000","168.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810028049760735232","https://twitter.com/DataBzh/status/810028049760735232","Understanding the Evolution from Relationship Databases to Semantic Graph Databases : https://t.co/ozQSUhcEyX","2016-12-17 07:45 +0000","194.0","5.0","0.02577319587628866","0.0","0.0","0.0","1.0","3.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"810002865498505216","https://twitter.com/DataBzh/status/810002865498505216","“How to Automatically Segment Your Data With Clustering” by @bilalmahmood https://t.co/vr8OgjiPmw","2016-12-17 06:05 +0000","183.0","1.0","0.00546448087431694","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809960471562518528","https://twitter.com/DataBzh/status/809960471562518528","#Datasnack #21 — Statistiques démographiques à Saint-Malo https://t.co/vWB8WBB6yX","2016-12-17 03:16 +0000","212.0","2.0","0.009433962264150943","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809805696174878720","https://twitter.com/DataBzh/status/809805696174878720","#DataScience — Apprendre la discipline en 8 étapes avec @DataCamp : https://t.co/4woKd165w4","2016-12-16 17:01 +0000","228.0","7.0","0.03070175438596491","0.0","0.0","2.0","0.0","4.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809757547599196160","https://twitter.com/DataBzh/status/809757547599196160",".@Intermedix s’attaque au problème de la défection des patients avec @dataiku https://t.co/qnQ5uDzSG8","2016-12-16 13:50 +0000","391.0","1.0","0.0025575447570332483","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809717253075861504","https://twitter.com/DataBzh/status/809717253075861504","#Cloud, #MachineLearning, analytique préventive…  5 tendances #BigData pour 2017 (@hortonworks) : https://t.co/Tr685P5CIG","2016-12-16 11:10 +0000","565.0","10.0","0.017699115044247787","3.0","0.0","3.0","0.0","4.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809666919645278208","https://twitter.com/DataBzh/status/809666919645278208","Reproducible Finance with #RStats — Pulling and Displaying ETF Data : https://t.co/eq8B5HmcWj","2016-12-16 07:50 +0000","195.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809639272714301440","https://twitter.com/DataBzh/status/809639272714301440","Top 10 Amazon Books in #Databases &amp; #BigData, 2016 Edition : https://t.co/LInuaphp3w","2016-12-16 06:00 +0000","132.0","2.0","0.015151515151515152","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809627625631191042","https://twitter.com/DataBzh/status/809627625631191042","Un mois à #Rennes — Février 2016 https://t.co/w4jrigXdK4 #socialmedia","2016-12-16 05:14 +0000","258.0","11.0","0.04263565891472868","0.0","0.0","2.0","0.0","9.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809440471453933569","https://twitter.com/DataBzh/status/809440471453933569",".@JCDecaux_france lance un puissant outil de #Datastorytelling avec @toucan_toco : https://t.co/4k4JfiB00i","2016-12-15 16:50 +0000","594.0","10.0","0.016835016835016835","0.0","0.0","3.0","0.0","5.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809397898135928832","https://twitter.com/DataBzh/status/809397898135928832","#RStats — Gene homology Part 2 - creating directed networks with igraph : https://t.co/brZV7FNtVB","2016-12-15 14:01 +0000","222.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809383445101215744","https://twitter.com/DataBzh/status/809383445101215744","Datasnack #40 — Les sites archéologiques en Bretagne https://t.co/yV3jtftRb4","2016-12-15 13:03 +0000","424.0","9.0","0.02122641509433962","3.0","0.0","1.0","1.0","2.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"809354873020051456","https://twitter.com/DataBzh/status/809354873020051456","#DataScience Basics — What Types of Patterns Can Be Mined From #Data? https://t.co/RKvtAZljCe","2016-12-15 11:10 +0000","199.0","1.0","0.005025125628140704","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
