"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"1076";"Hennebont";56083;56;53;15765;1912;47,8058186728819;-3,27710216767697
"1077";"Hézo";56084;56;53;759;482;47,582298071456;-2,69282078522415
"1078";"Hœdic";56085;56;53;119;212;47,3390604857459;-2,87347189636829
"1079";"Île-d'Houat";56086;56;53;246;322;47,3906335269288;-2,97685744361199
"1080";"Île-aux-Moines";56087;56;53;611;348;47,585755378215;-2,84555302414038
"1081";"Île-d'Arz";56088;56;53;249;331;47,5880780185957;-2,79529758453618
"1082";"Inguiniel";56089;56;53;2094;5143;47,9559966253706;-3,26395649143282
"1083";"Inzinzac-Lochrist";56090;56;53;6365;4500;47,8610137835954;-3,26215741556728
"1084";"Josselin";56091;56;53;2471;448;47,9561458488097;-2,55291203510997
"1085";"Kerfourn";56092;56;53;861;1963;48,043473739225;-2,84459797963597
"1086";"Kergrist";56093;56;53;681;2974;48,1508435806329;-2,93517774252671
"1087";"Kervignac";56094;56;53;6489;3979;47,76879384597;-3,24411766658897
"1088";"Lorient";56121;56;53;57961;1533;47,7466197950711;-3,37846498159097
"1089";"Landaul";56096;56;53;2215;1795;47,7452900619215;-3,09651458221232
"1090";"Landévant";56097;56;53;3482;2272;47,768683240359;-3,11569958283934
"1091";"Lanester";56098;56;53;21874;1753;47,7706054672414;-3,32282139448961
"1092";"Langoëlan";56099;56;53;403;2251;48,1166146230063;-3,23103663149182
"1093";"Langonnet";56100;56;53;1874;8624;48,127412823593;-3,48955858663803
"1094";"Languidic";56101;56;53;7562;10566;47,8232334287577;-3,14013941930098
"1095";"Lanouée";56102;56;53;1745;4433;47,9860568995589;-2,57896827497158
"1096";"Lantillac";56103;56;53;306;776;47,9543388583443;-2,65650793670364
"1097";"Lanvaudan";56104;56;53;772;1826;47,8903854900187;-3,24655051760606
"1098";"Lanvénégen";56105;56;53;1185;3030;48,000598294034;-3,5433907573511
"1099";"Larmor-Baden";56106;56;53;907;396;47,5864985131264;-2,89882928628309
"1100";"Larmor-Plage";56107;56;53;8204;782;47,7121835082323;-3,38940498848267
"1101";"Larré";56108;56;53;990;1703;47,7183260555605;-2,48701911587108
"1102";"Lauzach";56109;56;53;1038;1085;47,6127245456441;-2,554240750168
"1103";"Lignol";56110;56;53;907;3863;48,0299925819796;-3,2680182241995
"1104";"Limerzel";56111;56;53;1335;2524;47,6337161511206;-2,35821909062488
"1105";"Lizio";56112;56;53;731;1690;47,8618727346397;-2,52264966669361
"1106";"Locmalo";56113;56;53;905;2417;48,0638208051754;-3,18931939800054
"1107";"Locmaria";56114;56;53;848;2151;47,2971360427846;-3,10975362117369
"1108";"Locmaria-Grand-Champ";56115;56;53;1550;1412;47,7650185307887;-2,79187297478548
"1109";"Locmariaquer";56116;56;53;1581;1177;47,5687310155383;-2,95912368835795
"1110";"Locminé";56117;56;53;4116;484;47,8791620727871;-2,8395067011126
"1111";"Locmiquélic";56118;56;53;4141;414;47,7303953987982;-3,33510233034886
"1112";"Locoal-Mendon";56119;56;53;3279;4486;47,6952514825734;-3,09866741899165
"1113";"Locqueltas";56120;56;53;1646;1953;47,7725976848954;-2,76129607884929
"1114";"Loyat";56122;56;53;1656;4177;47,9958612109855;-2,39259471017173
"1115";"Malansac";56123;56;53;2140;3630;47,6955235561037;-2,30652674000365
"1116";"Malestroit";56124;56;53;2476;586;47,808494780268;-2,3873463438056
"1117";"Malguénac";56125;56;53;1782;3850;48,0680743929986;-3,06236069520971
"1118";"Marzan";56126;56;53;2204;3424;47,5513190566457;-2,36706068966611
"1119";"Mauron";56127;56;53;3291;6715;48,0832466913801;-2,31181455801218
"1120";"Melrand";56128;56;53;1502;4078;47,9792817019531;-3,09362405232396
"1121";"Ménéac";56129;56;53;1560;6866;48,1385802585011;-2,45743021688683
"1122";"Merlevenez";56130;56;53;3152;1770;47,734677736622;-3,24387193355653
"1123";"Meslan";56131;56;53;1410;3850;47,9864511151269;-3,43898142379203
"1124";"Meucon";56132;56;53;2258;574;47,7223270838586;-2,77719359156509
"1125";"Missiriac";56133;56;53;1092;1348;47,8194282241227;-2,35566665078242
"1126";"Mohon";56134;56;53;1008;3867;48,0566536155434;-2,49972292185808
"1127";"Molac";56135;56;53;1486;2860;47,7300282601179;-2,44389034995507
"1128";"Monteneuf";56136;56;53;774;2964;47,8836470093826;-2,19753473939208
"1129";"Monterblanc";56137;56;53;3242;2559;47,7327616568798;-2,69376306298378
"1130";"Monterrein";56138;56;53;395;710;47,8850915610237;-2,35754263363786
"1131";"Montertelot";56139;56;53;369;266;47,8869298188371;-2,41118029934922
"1132";"Moréac";56140;56;53;3846;6034;47,9416285483882;-2,79819044604498
"1133";"Moustoir-Ac";56141;56;53;1795;3391;47,8499842804789;-2,85497728929047
"1134";"Évellys";56144;56;53;3416;8063;47,9720721593956;-2,87839884504692
"1135";"Muzillac";56143;56;53;4869;3801;47,553738528893;-2,47312353499717
"1136";"Néant-sur-Yvel";56145;56;53;999;3265;48,0223028837179;-2,33362075796138
"1137";"Neulliac";56146;56;53;1463;3123;48,1241486106195;-2,96773092863903
"1138";"Nivillac";56147;56;53;4364;5587;47,5332570014679;-2,25205197975721
"1139";"Nostang";56148;56;53;1469;1727;47,7604601189254;-3,1760758393862
"1140";"Noyal-Muzillac";56149;56;53;2530;4938;47,6020679616508;-2,45736895649328
"1141";"Theix-Noyalo";56251;56;53;7726;5264;47,63572622708;-2,65195386404702
"1142";"Noyal-Pontivy";56151;56;53;3677;5342;48,0604405209176;-2,89116163114787
"1143";"Palais";56152;56;53;2580;1788;47,341747277974;-3,16502418707567
"1144";"Péaule";56153;56;53;2565;3924;47,5882765788611;-2,34033241699099
"1145";"Peillac";56154;56;53;1859;2458;47,7115401357603;-2,2175527993643
"1146";"Pénestin";56155;56;53;1790;2263;47,4668762581853;-2,47156463719312
"1147";"Persquen";56156;56;53;329;2013;48,0154352595623;-3,22015636246315
"1148";"Plaudren";56157;56;53;1755;4122;47,7841883115509;-2,68752854236199
"1149";"Plescop";56158;56;53;5369;2344;47,7025092385796;-2,82116986903051
"1150";"Pleucadeuc";56159;56;53;1728;3505;47,7740750561737;-2,39246694611133
"1151";"Pleugriffet";56160;56;53;1186;3857;47,9861242608153;-2,67905300229883
"1152";"Ploemel";56161;56;53;2700;2542;47,6589735903575;-3,07424824338416
"1153";"Ploemeur";56162;56;53;18039;4023;47,7233091871772;-3,44751632439665
"1154";"Ploërdut";56163;56;53;1216;7627;48,0891109224525;-3,28298847012529
"1155";"Ploeren";56164;56;53;6284;2052;47,6568658404004;-2,85075944096288
"1156";"Ploërmel";56165;56;53;9525;5164;47,9205944755987;-2,37635752334018
"1157";"Plouay";56166;56;53;5385;6714;47,9217121095886;-3,33301828764636
"1158";"Plougoumelen";56167;56;53;2473;2187;47,6610743641863;-2,89858037370745
"1159";"Plouharnel";56168;56;53;2133;1926;47,5966253763802;-3,12063229868099
"1160";"Plouhinec";56169;56;53;5291;3995;47,7050856756233;-3,23695060934764
"1161";"Plouray";56170;56;53;1127;3938;48,139197787944;-3,38070443396109
"1162";"Pluherlin";56171;56;53;1440;3541;47,7089514572102;-2,37261193066641
"1163";"Plumelec";56172;56;53;2706;5849;47,828799236792;-2,61990656913947
"1164";"Pluméliau";56173;56;53;3594;6856;47,9605757891659;-2,96871031988419
"1165";"Plumelin";56174;56;53;2714;3138;47,8754710790703;-2,88621921598468
"1166";"Plumergat";56175;56;53;3859;4219;47,7322005981939;-2,92139787519238
"1167";"Pluneret";56176;56;53;5304;2787;47,6834090687299;-2,94698082716431
"1168";"Pluvigner";56177;56;53;7346;8296;47,7836936748293;-3,01993779184014
"1169";"Pontivy";56178;56;53;13915;2504;48,0707631510504;-2,97015532045935
"1170";"Pont-Scorff";56179;56;53;3496;2356;47,8404475601998;-3,42030426251638
"1171";"Porcaro";56180;56;53;686;1564;47,9141551665236;-2,18956335000634
"1172";"Port-Louis";56181;56;53;2667;122;47,7088102584093;-3,35495872583022
"1173";"Priziac";56182;56;53;999;4586;48,0541476220741;-3,42640234823049
"1174";"Quelneuc";56183;56;53;550;1406;47,8373038790228;-2,06162276593431
"1175";"Questembert";56184;56;53;7424;6577;47,6534894059398;-2,44036885368519
"1176";"Quéven";56185;56;53;8677;2460;47,7870055495307;-3,42200403889937
"1177";"Quiberon";56186;56;53;4987;950;47,4818588700864;-3,112613833511
"1178";"Quistinic";56188;56;53;1424;4295;47,9180663292345;-3,13149749708376
"1179";"Radenac";56189;56;53;1000;2171;47,9536134840485;-2,71398848808658
"1180";"Réguiny";56190;56;53;1896;2802;47,97985808557;-2,77574821857671
"1181";"Réminiac";56191;56;53;371;1213;47,8630455837066;-2,2483325866896
"1182";"Riantec";56193;56;53;5232;1463;47,711603093496;-3,29969113090469
"1183";"Rieux";56194;56;53;2878;2764;47,6076039998023;-2,1319405313475
"1184";"Roche-Bernard";56195;56;53;658;44;47,518412108998;-2,30062952495734
"1185";"Rochefort-en-Terre";56196;56;53;674;126;47,698222512555;-2,34362267397593
"1186";"Rohan";56198;56;53;1684;2345;48,0903921318624;-2,74771712284356
"1187";"Roudouallec";56199;56;53;727;2503;48,1206524442117;-3,69349457605846
"1188";"Ruffiac";56200;56;53;1406;3682;47,815128176678;-2,28605724830846
"1189";"Saint";56201;56;53;616;3129;48,094684267345;-3,56172088329338
"1190";"Saint-Abraham";56202;56;53;543;668;47,8499666287465;-2,39983955975767
"1191";"Saint-Aignan";56203;56;53;616;2761;48,1791963013537;-3,04609233437801
"1192";"Saint-Allouestre";56204;56;53;620;1672;47,9051260697381;-2,73977917908364
"1193";"Saint-Armel";56205;56;53;879;822;47,5715706615124;-2,72490945271826
"1194";"Saint-Avé";56206;56;53;10728;2612;47,6995465472481;-2,74577239714164
"1195";"Saint-Barthélemy";56207;56;53;1198;2220;47,9233061413785;-3,03758570160583
"1196";"Saint-Brieuc-de-Mauron";56208;56;53;349;1490;48,0884336630092;-2,35419848689396
"1197";"Sainte-Brigitte";56209;56;53;176;1770;48,1748586402841;-3,11174061840038
"1198";"Saint-Caradec-Trégomel";56210;56;53;464;1610;48,0332958044747;-3,34406074606708
"1199";"Saint-Congard";56211;56;53;749;2175;47,7725694543516;-2,32953215477234
"1200";"Saint-Dolay";56212;56;53;2404;4876;47,5412658644481;-2,17526650969586
"1201";"Saint-Gérand";56213;56;53;1047;1831;48,1070531336818;-2,88725602495503
"1202";"Saint-Gildas-de-Rhuys";56214;56;53;1685;1579;47,5089021447868;-2,83604406108854
"1203";"Saint-Gonnery";56215;56;53;1074;1668;48,1286360527527;-2,82313435283899
"1204";"Saint-Gorgon";56216;56;53;356;573;47,6397419481688;-2,23936147335239
"1205";"Saint-Gravé";56218;56;53;760;1585;47,7193688520237;-2,28946130970714
"1206";"Saint-Guyomard";56219;56;53;1272;1972;47,7809568577285;-2,4986973063991
"1207";"Sainte-Hélène";56220;56;53;1156;1128;47,7200308440637;-3,19725932281668
"1208";"Saint-Jacut-les-Pins";56221;56;53;1728;2280;47,6813869389484;-2,20878990017244
"1209";"Saint-Jean-Brévelay";56222;56;53;2765;4173;47,8393051623717;-2,72498900255613
"1210";"Saint-Jean-la-Poterie";56223;56;53;1514;838;47,6424289594804;-2,12356557619988
"1211";"Saint-Laurent-sur-Oust";56224;56;53;374;387;47,794864445438;-2,31660291506276
"1212";"Saint-Léry";56225;56;53;189;160;48,0896123999391;-2,26357041831429
"1213";"Saint-Malo-de-Beignon";56226;56;53;501;353;47,9586046184315;-2,1350196111995
"1214";"Saint-Malo-des-Trois-Fontaines";56227;56;53;549;1620;48,0144250259246;-2,46991730848203
"1215";"Saint-Marcel";56228;56;53;1052;1301;47,810946338238;-2,41668455265499
"1216";"Saint-Martin-sur-Oust";56229;56;53;1328;2820;47,7594678030855;-2,25723505306635
"1217";"Saint-Nicolas-du-Tertre";56230;56;53;470;1316;47,8028725441498;-2,21150530187104
"1218";"Saint-Nolff";56231;56;53;3665;2606;47,7011172118898;-2,66718175600005
"1219";"Saint-Perreux";56232;56;53;1182;619;47,6756786163798;-2,1267526255383
"1220";"Saint-Philibert";56233;56;53;1594;756;47,57794753024;-2,99689514749616
"1221";"Saint-Pierre-Quiberon";56234;56;53;2116;817;47,5296773612756;-3,14853886964451
"1222";"Saint-Servant";56236;56;53;800;2257;47,8926304140784;-2,51402212527182
"1223";"Saint-Thuriau";56237;56;53;1849;2154;48,0199566090668;-2,94260346428834
"1224";"Saint-Tugdual";56238;56;53;389;2012;48,0934900370536;-3,36375031225179
"1225";"Saint-Vincent-sur-Oust";56239;56;53;1421;1597;47,701695246152;-2,15075499059234
"1226";"Sarzeau";56240;56;53;7756;6024;47,532927787504;-2,77720106434183
"1227";"Sauzon";56241;56;53;908;2295;47,3585385613472;-3,23623245029147
"1228";"Séglien";56242;56;53;697;3838;48,0954729494687;-3,15976455372715
"1229";"Séné";56243;56;53;8821;2113;47,6183219672569;-2,73800428730535
"1230";"Sérent";56244;56;53;3064;6020;47,8248764120751;-2,50529297582503
"1231";"Silfiac";56245;56;53;450;2256;48,147083853981;-3,1729669317933
"1232";"Sourn";56246;56;53;2075;1612;48,0413138393594;-2,99888136688007
"1233";"Sulniac";56247;56;53;3382;2813;47,656177397722;-2,55758808728862
"1234";"Surzur";56248;56;53;4078;5722;47,5701348967247;-2,61736882468936
"1235";"Taupont";56249;56;53;2225;3024;47,9625989590469;-2,45082225442215
"1236";"Théhillac";56250;56;53;560;1455;47,5542550721691;-2,11689475398824
"1237";"Tour-du-Parc";56252;56;53;1197;869;47,5346196725071;-2,66240671681107
"1238";"Tréal";56253;56;53;655;1924;47,8275525311793;-2,22595690793623
"1239";"Trédion";56254;56;53;1195;2587;47,7847758163298;-2,58443349216184
"1240";"Treffléan";56255;56;53;2105;1839;47,6756249582232;-2,62504779100325
"1241";"Tréhorenteuc";56256;56;53;112;544;48,0037387271445;-2,29384032395303
"1242";"Trinité-Porhoët";56257;56;53;689;1270;48,0996887405588;-2,53193830177086
"1243";"Trinité-sur-Mer";56258;56;53;1642;707;47,5862653121496;-3,03218561040069
"1244";"Trinité-Surzur";56259;56;53;1442;232;47,603639407714;-2,59330183220175
"1245";"Vannes";56260;56;53;53032;3313;47,6549378381554;-2,74920228402015
"1246";"Vraie-Croix";56261;56;53;1408;1678;47,6876780687054;-2,51907238807014
"1247";"Bono";56262;56;53;2111;679;47,6361258677694;-2,93357957569487
"1248";"Sainte-Anne-d'Auray";56263;56;53;2596;497;47,6972549825377;-2,94972619427999
"1249";"Kernascléden";56264;56;53;460;931;48,0118282933901;-3,32615617339953
